k_index,valley,delta_kx_inv_A,delta_ky_inv_A,E17_eV,E18_eV,E19_eV,min_gap18_eV,omega_z_A2
64,K,0.09,-0.12,-1.5191540993404127,-1.3850369425100226,0.5217158612514214,0.13411715683039005,-3.7477820395439054
65,K,0.09,-0.09,-1.4985823279114734,-1.3616220491431883,0.49285277876122363,0.1369602787682851,-4.2231343248998385
66,K,0.09,-0.06,-1.4830722627985535,-1.3438741302544384,0.4709983882603098,0.13919813254411517,-4.63099530904337
67,K,0.09,-0.03,-1.4734179336735314,-1.332781826285955,0.457356996692618,0.14063610738757637,-4.909160749994734
68,K,0.09,0.0,-1.470134656388934,-1.3290021566901329,0.4527207886485292,0.14113249969880104,-5.008227714230034
69,K,0.09,0.03,-1.4734182443247137,-1.332782166625477,0.457357412327981,0.14063607769923658,-4.909148524128355
70,K,0.09,0.06,-1.483072890375174,-1.3438748132431955,0.470999181950831,0.13919807713197851,-4.630956913608995
71,K,0.09,0.09,-1.4985832276092483,-1.3616230198866892,0.49285394225493645,0.13696020772255912,-4.223229491864319
72,K,0.09,0.12,-1.5191552419298873,-1.3850381676471502,0.5217173125454676,0.13411707428273711,-3.7478232696109024
73,K,0.12,-0.12,-1.5450898026137017,-1.4137617166205012,0.5509474779073327,0.13132808599320045,-3.310932371131383
74,K,0.12,-0.09,-1.528758087826589,-1.3950253456196644,0.5252594111147286,0.13373274220692455,-3.6628129374653087
75,K,0.12,-0.06,-1.5165331967603253,-1.3809357526666064,0.5059016531410456,0.13559744409371888,-3.9566125134818724
76,K,0.12,-0.03,-1.5089593556753997,-1.3721766800825468,0.49387186508189806,0.13678267559285295,-4.153067753846799
77,K,0.12,0.0,-1.5063932196654612,-1.3692035389031005,0.4897881388373203,0.1371896807623607,-4.222249629011453
78,K,0.12,0.03,-1.508959630729095,-1.3721769794532375,0.49387223372443345,0.13678265127585743,-4.153030099511379
79,K,0.12,0.06,-1.5165337142687352,-1.3809363135660981,0.5059023870400794,0.13559740070263704,-3.956591177364854
80,K,0.12,0.09,-1.5287588531434493,-1.3950261691252333,0.5252604880811076,0.13373268401821603,-3.6628195020594143
81,K,0.12,0.12,-1.5450907507150542,-1.4137627353658777,0.5509488484526089,0.13132801534917649,-3.310934306494432
82,Kprime,-0.12,-0.12,-1.5450907474921345,-1.4137627385585056,0.5509488567795282,0.13132800893362884,3.3108804974219965
83,Kprime,-0.12,-0.09,-1.5287588498262976,-1.3950261723819835,0.5252604959502448,0.13373267744431416,3.6628187991081345
84,Kprime,-0.12,-0.06,-1.5165337107402608,-1.3809363169643833,0.5059023931211417,0.13559739377587743,3.9566245569126126
85,Kprime,-0.12,-0.03,-1.5089596270101613,-1.3721769830779287,0.49387224016761744,0.1367826439322326,4.153052978741269
86,Kprime,-0.12,0.0,-1.5063932157507074,-1.3692035426460523,0.4897881449242948,0.13718967310465513,4.2222428050741145
87,Kprime,-0.12,0.03,-1.5089593515324382,-1.3721766840110408,0.4938718710133687,0.13678266752139745,4.153027547865301
88,Kprime,-0.12,0.06,-1.5165331925016814,-1.3809357565704847,0.5059016614595471,0.13559743593119666,3.956602976000938
89,Kprime,-0.12,0.09,-1.528758083532018,-1.3950253496278582,0.5252594172873752,0.13373273390415985,3.66283433177253
90,Kprime,-0.12,0.12,-1.5450897984655234,-1.4137617204855508,0.550947483692158,0.1313280779799726,3.3109011795414056
91,Kprime,-0.09,-0.12,-1.5191552380377207,-1.3850381713675755,0.5217173147091366,0.13411706667014522,3.7477264758538884
92,Kprime,-0.09,-0.09,-1.498583223718334,-1.3616230236102425,0.4928539474459357,0.13696020010809162,4.22308092022922
93,Kprime,-0.09,-0.06,-1.4830728865071596,-1.3438748171305117,0.470999187029443,0.13919806937664791,4.630945126821133
94,Kprime,-0.09,-0.03,-1.4734182403122482,-1.332782170497227,0.4573574170680442,0.1406360698150213,4.909161937076659
95,Kprime,-0.09,0.0,-1.4701346522991832,-1.3290021606395095,0.4527207942910544,0.14113249165967368,5.008205621279665
96,Kprime,-0.09,0.03,-1.473417929469964,-1.332781830338103,0.45735700099459176,0.14063609913186115,4.9091087644207025
97,Kprime,-0.09,0.06,-1.4830722585993263,-1.3438741342868772,0.47099839278836175,0.13919812431244916,4.630989317913909
98,Kprime,-0.09,0.09,-1.498582323752153,-1.3616220530035499,0.4928527839266988,0.13696027074860306,4.223185750969713
99,Kprime,-0.09,0.12,-1.519154095378913,-1.3850369462088485,0.5217158669959425,0.13411714917006456,3.747824032021783
100,Kprime,-0.06,-0.12,-1.502403665997445,-1.3661929603591991,0.5004477617874306,0.13621070563824578,4.099881997563134
101,Kprime,-0.06,-0.09,-1.4777613940464258,-1.3383027705957584,0.4687896994988975,0.1394586234506674,4.699286694617495
102,Kprime,-0.06,-0.06,-1.4590783599177326,-1.3170262124012342,0.44468615734089073,0.14205214751649842,5.226974808202349
103,Kprime,-0.06,-0.03,-1.4473987655039786,-1.3036629723460145,0.4295834083009622,0.14373579315796414,5.594010685491039
104,Kprime,-0.06,0.0,-1.443418783730762,-1.2990986271922256,0.42444282373063486,0.14432015653853636,5.726018331001116
105,Kprime,-0.06,0.03,-1.447398405502399,-1.3036625768559835,0.42958297382630495,0.14373582864641543,5.594003516708436
106,Kprime,-0.06,0.06,-1.4590776509868961,-1.317025437538251,0.4446853059239095,0.14205221344864505,5.227039550720336
107,Kprime,-0.06,0.09,-1.477760347133315,-1.338301641403982,0.4687884798057872,0.13945870572933305,4.699311506212823
108,Kprime,-0.06,0.12,-1.5024023479156872,-1.3661915478787785,0.500446253035493,0.13621080003690866,4.099898590737923
109,Kprime,-0.03,-0.12,-1.49525990730252,-1.3578541563912605,0.4884560015394922,0.1374057509112594,4.302783286278343
110,Kprime,-0.03,-0.09,-1.4669618348525733,-1.3259925231304162,0.4546109330772915,0.1409693117221571,5.000107998868232
111,Kprime,-0.03,-0.06,-1.445404415981194,-1.3015557148238401,0.42868616311747404,0.14384870115735393,5.627974823466094
112,Kprime,-0.03,-0.03,-1.4318876935281901,-1.2861518476307872,0.41170138793079675,0.14573584589740296,6.071883766418112
113,Kprime,-0.03,0.0,-1.427269678472951,-1.2808762715779047,0.4053856807706908,0.14639340689504632,6.23311029971616
114,Kprime,-0.03,0.03,-1.4318873058261261,-1.2861514191475854,0.41170088312952136,0.14573588667854076,6.071893144440517
115,Kprime,-0.03,0.06,-1.4454036166187998,-1.3015548419092435,0.428685285245381,0.14384877470955626,5.627998946583445
116,Kprime,-0.03,0.09,-1.4669606719894583,-1.3259912650897796,0.4546096827729026,0.14096940689967874,5.000175690516749
117,Kprime,-0.03,0.12,-1.4952584380092828,-1.3578525841357019,0.48845445882190386,0.13740585387358095,4.30285128603822
118,Kprime,0.0,-0.12,-1.4975010126716481,-1.3599021791729013,0.4862631784937973,0.1375988334987468,4.320721980075063
119,Kprime,0.0,-0.09,-1.4661535960791667,-1.3248120721688093,0.45101488353734787,0.14134152391035748,5.065701513696202
120,Kprime,0.0,-0.06,-1.4421903574936965,-1.2977982177970566,0.4238804150785572,0.1443921396966399,5.747778322621292
121,Kprime,0.0,-0.03,-1.4271142604312106,-1.280710816190911,0.40530875460030497,0.1464034442402995,6.236249823071813
