k_index,q1,q2,q3,band,energy_eV
14,0.287903018400017,0.6439515092000084,0.0,4,-13.178582948825134
14,0.287903018400017,0.6439515092000084,0.0,5,-6.637905025584317
14,0.287903018400017,0.6439515092000084,0.0,6,-6.630633000793875
14,0.287903018400017,0.6439515092000084,0.0,7,-6.067770292276991
14,0.287903018400017,0.6439515092000084,0.0,8,-6.036650787185986
14,0.287903018400017,0.6439515092000084,0.0,9,-5.279862950911642
14,0.287903018400017,0.6439515092000084,0.0,10,-5.25535071328313
14,0.287903018400017,0.6439515092000084,0.0,11,-4.798727278377168
14,0.287903018400017,0.6439515092000084,0.0,12,-4.794644951754222
14,0.287903018400017,0.6439515092000084,0.0,13,-4.340095782372757
14,0.287903018400017,0.6439515092000084,0.0,14,-4.296100727998905
14,0.287903018400017,0.6439515092000084,0.0,15,-3.5641297053662155
14,0.287903018400017,0.6439515092000084,0.0,16,-3.546305988971175
14,0.287903018400017,0.6439515092000084,0.0,17,-1.4621460717700057
14,0.287903018400017,0.6439515092000084,0.0,18,-1.3205944399692822
14,0.287903018400017,0.6439515092000084,0.0,19,0.4492887022258344
14,0.287903018400017,0.6439515092000084,0.0,20,0.45347777188581095
14,0.287903018400017,0.6439515092000084,0.0,21,1.5287011490784161
14,0.287903018400017,0.6439515092000084,0.0,22,1.5571793572153938
14,0.287903018400017,0.6439515092000084,0.0,23,1.9459984839182503
14,0.287903018400017,0.6439515092000084,0.0,24,2.0876225249503446
14,0.287903018400017,0.6439515092000084,0.0,25,3.3565459489517004
14,0.287903018400017,0.6439515092000084,0.0,26,3.4352273396969673
15,0.287903018400017,0.6570661114780683,0.0,1,-13.298496821868913
15,0.287903018400017,0.6570661114780683,0.0,2,-13.267829869400448
15,0.287903018400017,0.6570661114780683,0.0,3,-13.183396679410329
15,0.287903018400017,0.6570661114780683,0.0,4,-13.180023186879229
15,0.287903018400017,0.6570661114780683,0.0,5,-6.6337276723082965
15,0.287903018400017,0.6570661114780683,0.0,6,-6.6264262119609825
15,0.287903018400017,0.6570661114780683,0.0,7,-6.077463536954449
15,0.287903018400017,0.6570661114780683,0.0,8,-6.047015991973947
15,0.287903018400017,0.6570661114780683,0.0,9,-5.265730845905626
15,0.287903018400017,0.6570661114780683,0.0,10,-5.240760784275091
15,0.287903018400017,0.6570661114780683,0.0,11,-4.7975140309898485
15,0.287903018400017,0.6570661114780683,0.0,12,-4.7931978504014925
15,0.287903018400017,0.6570661114780683,0.0,13,-4.345086719467073
15,0.287903018400017,0.6570661114780683,0.0,14,-4.301676078049335
