valley,delta_kx_inv_A,omega18_z_A2,E17_eV,E18_eV
K,-0.0030000000000000027,-6.3972799298637,-1.4224816808024174,-1.275441502764002
K,-0.0023999999999999994,-6.400788578649071,-1.4223820650116736,-1.275327978356885
K,-0.00180000000000001,-6.404297227434442,-1.4222824492209296,-1.2752144539497678
K,-0.0012000000000000066,-6.407805876219813,-1.4221828334301856,-1.2751009295426512
K,-0.0006000000000000033,-6.411314525005183,-1.4220832176394416,-1.274987405135534
K,0.0,-6.4148231737905546,-1.4219836018486975,-1.2748738807284172
K,0.0005999999999999894,-6.411189018707249,-1.422089323475717,-1.2749939284537088
K,0.0011999999999999927,-6.407554863623944,-1.4221950451027365,-1.2751139761790007
K,0.001799999999999996,-6.403920708540638,-1.422300766729756,-1.2752340239042923
K,0.0023999999999999994,-6.400286553457333,-1.4224064883567755,-1.275354071629584
K,0.002999999999999989,-6.3966523983740275,-1.4225122099837946,-1.2754741193548755
K,0.003599999999999992,-6.393018243290722,-1.422617931610814,-1.2755941670801674
K,0.004199999999999995,-6.389384088207418,-1.4227236532378336,-1.275714214805459
K,0.004799999999999999,-6.385749933124112,-1.422829374864853,-1.2758342625307506
K,0.005399999999999988,-6.3821157780408075,-1.4229350964918726,-1.2759543102560424
K,0.006000000000000005,-6.378481622957501,-1.423040818118892,-1.2760743579813338
K,0.006599999999999995,-6.374847467874196,-1.4231465397459115,-1.2761944057066257
K,0.007199999999999984,-6.371213312790891,-1.4232522613729308,-1.2763144534319173
K,0.007800000000000001,-6.367579157707586,-1.42335798299995,-1.2764345011572091
K,0.00839999999999999,-6.3639450026242805,-1.4234637046269696,-1.2765545488825008
K,0.00899999999999998,-6.360310847540974,-1.423569426253989,-1.2766745966077924
K,0.009599999999999997,-6.35667669245767,-1.4236751478810086,-1.276794644333084
K,0.010199999999999987,-6.353042537374364,-1.423780869508028,-1.2769146920583758
K,0.010800000000000004,-6.349408382291059,-1.4238865911350476,-1.2770347397836674
K,0.011399999999999993,-6.3457742272077535,-1.423992312762067,-1.277154787508959
K,0.011999999999999983,-6.342140072124448,-1.4240980343890866,-1.277274835234251
K,0.0126,-6.338505917041143,-1.4242037560161058,-1.2773948829595425
K,0.01319999999999999,-6.334871761957838,-1.424309477643125,-1.2775149306848341
K,0.013799999999999979,-6.331237606874533,-1.4244151992701446,-1.2776349784101257
K,0.014399999999999996,-6.3276034517912265,-1.424520920897164,-1.2777550261354174
K,0.014999999999999986,-6.323969296707922,-1.4246266425241836,-1.2778750738607092
K,0.015600000000000003,-6.320335141624616,-1.424732364151203,-1.277995121586001
K,0.016199999999999992,-6.316700986541311,-1.4248380857782226,-1.2781151693112927
K,0.01679999999999998,-6.313066831458006,-1.424943807405242,-1.2782352170365843
K,0.0174,-6.3094326763747,-1.4250495290322613,-1.2783552647618759
K,0.017999999999999988,-6.305798521291395,-1.4251552506592808,-1.2784753124871675
K,0.018600000000000005,-6.30216436620809,-1.4252609722863,-1.2785953602124591
K,0.019199999999999995,-6.298530211124785,-1.4253666939133196,-1.278715407937751
K,0.019799999999999984,-6.29489605604148,-1.425472415540339,-1.2788354556630426
K,0.0204,-6.291261900958173,-1.4255781371673586,-1.2789555033883344
K,0.02099999999999999,-6.287627745874868,-1.425683858794378,-1.279075551113626
K,0.02159999999999998,-6.283993590791563,-1.4257895804213976,-1.2791955988389176
K,0.022199999999999998,-6.280359435708258,-1.4258953020484169,-1.2793156465642093
K,0.022799999999999987,-6.276725280624953,-1.4260010236754364,-1.2794356942895009
K,0.023400000000000004,-6.273091125541647,-1.4261067453024556,-1.2795557420147927
K,0.023999999999999994,-6.269456970458343,-1.4262124669294751,-1.2796757897400846
K,0.024599999999999983,-6.265822815375037,-1.4263181885564946,-1.2797958374653762
K,0.0252,-6.262188660291731,-1.426423910183514,-1.2799158851906676
K,0.02579999999999999,-6.258554505208426,-1.4265296318105336,-1.2800359329159594
K,0.02639999999999998,-6.254920350125121,-1.4266353534375529,-1.280155980641251
K,0.026999999999999996,-6.251286195041816,-1.4267410750645724,-1.2802760283665429
K,0.027599999999999986,-6.247652039958511,-1.4268467966915919,-1.2803960760918345
K,0.028200000000000003,-6.2440178848752055,-1.4269525183186111,-1.280516123817126
K,0.028799999999999992,-6.240383729791899,-1.4270582399456306,-1.2806361715424177
K,0.02939999999999998,-6.236749574708594,-1.4271639615726501,-1.2807562192677093
K,0.03,-6.233115419625289,-1.4272696831996696,-1.2808762669930012
K,0.03059999999999999,-6.222973591401566,-1.427592665298772,-1.2812407141129345
K,0.031199999999999978,-6.212831763177844,-1.4279156473978742,-1.2816051612328674
K,0.031799999999999995,-6.202689934954121,-1.4282386294969767,-1.2819696083528007
K,0.032399999999999984,-6.192548106730397,-1.4285616115960789,-1.2823340554727338
K,0.033,-6.182406278506674,-1.4288845936951815,-1.282698502592667
K,0.03359999999999999,-6.172264450282951,-1.4292075757942837,-1.2830629497126
K,0.03419999999999998,-6.162122622059227,-1.4295305578933861,-1.2834273968325334
K,0.0348,-6.151980793835504,-1.4298535399924883,-1.2837918439524665
