# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:26
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,44,17,-2.63888888888888895E-001,-5.27777777777777790E-001, 0.00000000000000000E+000,-1.77930333747929481E+000, 1.70404193296748874E+000, 1.16178249583544169E-001
1,45,17,-2.77777777777777679E-001,-5.55555555555555469E-001, 0.00000000000000000E+000,-1.67448299735835615E+000, 2.10475624921079074E+000, 1.22894397013613377E-001
1,46,17,-2.91666666666666685E-001,-5.83333333333333370E-001, 0.00000000000000000E+000,-1.57531806818643028E+000, 2.84441257638781098E+000, 1.30653280426726859E-001
1,47,17,-3.05555555555555580E-001,-6.11111111111111160E-001, 0.00000000000000000E+000,-1.49340859265882608E+000, 3.86785341991432752E+000, 1.38555819094749344E-001
1,48,17,-3.19444444444444420E-001,-6.38888888888888840E-001, 0.00000000000000000E+000,-1.43999516523719451E+000, 4.84303941506622859E+000, 1.44749225735113729E-001
1,49,17,-3.33333333333333315E-001,-6.66666666666666630E-001, 0.00000000000000000E+000,-1.42198359672757357E+000, 5.25007795003454181E+000, 1.47109711005055210E-001
1,1,18, 3.33333333333333315E-001, 6.66666666666666630E-001, 0.00000000000000000E+000,-1.27487388069435337E+000,-6.41480249987256013E+000, 1.47109721131902571E-001
1,2,18, 3.19444444444444475E-001, 6.38888888888888951E-001, 0.00000000000000000E+000,-1.29524593449826586E+000,-5.82835502679252304E+000, 1.44749235862971837E-001
1,3,18, 3.05555555555555525E-001, 6.11111111111111049E-001, 0.00000000000000000E+000,-1.35485276867125970E+000,-4.48209322706712410E+000, 1.38555828952998450E-001
1,4,18, 2.91666666666666685E-001, 5.83333333333333370E-001, 0.00000000000000000E+000,-1.44466478321535963E+000,-3.15615676619077279E+000, 1.30653289671612605E-001
1,5,18, 2.77777777777777790E-001, 5.55555555555555580E-001, 0.00000000000000000E+000,-1.55158859628769452E+000,-2.25544158480602386E+000, 1.22894405254754702E-001
1,6,18, 2.63888888888888895E-001, 5.27777777777777790E-001, 0.00000000000000000E+000,-1.66312508429111805E+000,-1.79098975439192709E+000, 1.16178256868903595E-001
1,7,18, 2.50000000000000000E-001, 5.00000000000000000E-001, 0.00000000000000000E+000,-1.76947298682482468E+000,-1.63692395377467537E+000, 1.10666085872417108E-001
1,8,18, 2.36111111111111105E-001, 4.72222222222222210E-001, 0.00000000000000000E+000,-1.86415341386204236E+000,-1.65462923312714016E+000, 1.06129781905996090E-001
1,9,18, 2.22222222222222210E-001, 4.44444444444444475E-001, 0.00000000000000000E+000,-1.94420836551950904E+000,-1.70164662987236270E+000, 1.02172513059480163E-001
1,10,18, 2.08333333333333287E-001, 4.16666666666666685E-001, 0.00000000000000000E+000,-2.00952217727927795E+000,-1.59768818241064037E+000, 9.82915187470227991E-002
1,11,18, 1.94444444444444392E-001, 3.88888888888888784E-001, 0.00000000000000000E+000,-2.06085074578533467E+000,-1.09663050954312968E+000, 9.37732837961897658E-002
1,12,18, 1.80555555555555608E-001, 3.61111111111111216E-001, 0.00000000000000000E+000,-2.09630628559790599E+000, 4.70105881718953858E-002, 8.73370225678407053E-002
1,13,18, 1.66666666666666713E-001, 3.33333333333333315E-001, 0.00000000000000000E+000,-2.10841472481605141E+000, 1.72619387129667667E+000, 7.69817983070337775E-002
1,14,18, 1.52777777777777790E-001, 3.05555555555555580E-001, 0.00000000000000000E+000,-2.08678811430520650E+000, 2.87090057480351035E+000, 6.18596376356972399E-002
1,15,18, 1.38888888888888895E-001, 2.77777777777777679E-001, 0.00000000000000000E+000,-2.02840305085743466E+000, 2.35978315332287947E+000, 4.47686857893216938E-002
1,16,18, 1.25000000000000000E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-1.94396158692266541E+000, 1.11867548906655401E+000, 2.95745823288022791E-002
1,17,18, 1.11111111111111105E-001, 2.22222222222222210E-001, 0.00000000000000000E+000,-1.85060388226946593E+000, 2.43494710480031407E-001, 1.80179618200764224E-002
1,18,18, 9.72222222222221960E-002, 1.94444444444444392E-001, 0.00000000000000000E+000,-1.76263793555606174E+000,-1.50566034427736722E-001, 1.00712598450489743E-002
1,19,18, 8.33333333333333010E-002, 1.66666666666666713E-001, 0.00000000000000000E+000,-1.68856325175395328E+000,-2.45050725535700259E-001, 5.07257702177899006E-003
1,20,18, 6.94444444444445030E-002, 1.38888888888888895E-001, 0.00000000000000000E+000,-1.63156133764828581E+000,-2.02713338822512301E-001, 2.23743303609102995E-003
1,21,18, 5.55555555555554970E-002, 1.11111111111111105E-001, 0.00000000000000000E+000,-1.59099639810222460E+000,-1.25929995685156171E-001, 8.28031589618749564E-004
1,22,18, 4.16666666666666990E-002, 8.33333333333333010E-002, 0.00000000000000000E+000,-1.56421060180295735E+000,-6.22012247345950578E-002, 2.39488394154552253E-004
1,23,18, 2.77777777777778005E-002, 5.55555555555556010E-002, 0.00000000000000000E+000,-1.54795920218230298E+000,-2.49006875848125503E-002, 4.70674240071744521E-005
1,24,18, 1.38888888888889003E-002, 2.77777777777778005E-002, 0.00000000000000000E+000,-1.53945766455815347E+000,-1.12535086592708763E-002, 4.05340900577755292E-006
1,25,18, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000,-1.53683372148737751E+000, 3.85960233294169427E+002, 3.13214343350409763E-009
