# k_index	kx_frac	ky_frac	kz_frac	source_k_weight	initial_first	initial_last	final_first	final_last	transition_eV	transition_min_eV	transition_max_eV	I_plus_A2	I_minus_A2	eta	eta_valid
20	0.1944444444444444	0.5972222222222222	0.0	0.02	10	10	19	19	5.93277079699644	5.93277079699644	5.93277079699644	1.8652448053899287e-15	2.3343591223017244e-16	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	10	10	20	20	5.968159756544515	5.968159756544515	5.968159756544515	0.10763103189681629	0.0084597342685357	0.8542565520415945	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	11	11	19	19	5.168709497209774	5.168709497209774	5.168709497209774	0.0009079478822431223	7.022899521690397e-07	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	11	11	20	20	5.204098456757848	5.204098456757848	5.204098456757848	6.924922802423599e-17	3.628842786792996e-16	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	12	12	19	19	5.147327423122171	5.147327423122171	5.147327423122171	2.797446745505201e-15	5.886767238031064e-16	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	12	12	20	20	5.182716382670246	5.182716382670246	5.182716382670246	0.0006786999556102272	0.0019531020196991863	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	13	13	19	19	4.708052855066315	4.708052855066315	4.708052855066315	8.62439635527507e-16	4.687245022413851e-15	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	13	13	20	20	4.74344181461439	4.74344181461439	4.74344181461439	3.6621886348175976e-06	0.1186841063467099	-0.9999382886934347	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	14	14	19	19	4.6684695949669575	4.6684695949669575	4.6684695949669575	4.870727017824983e-05	0.128982043118252	-0.9992450284907803	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	14	14	20	20	4.703858554515032	4.703858554515032	4.703858554515032	1.1335262576787425e-15	2.0295012143190613e-15	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	15	16	19	19	4.085299042516791	4.0845824849895624	4.086015600044021	0.0010908480815653436	9.417227832528286e-05	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	15	16	20	20	4.120688002064866	4.1199714445376365	4.121404559592096	0.0014590882791263716	8.746039087099468e-05	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	17	17	19	19	2.3455888999352825	2.3455888999352825	2.3455888999352825	0.125714943349089	3.4555844781799485	-0.9297936706473904	True
20	0.1944444444444444	0.5972222222222222	0.0	0.02	17	17	20	20	2.380977859483357	2.380977859483357	2.380977859483357	1.8801177622154672e-15	3.801529344764075e-14	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	18	18	19	19	2.2271136491563683	2.2271136491563683	2.2271136491563683	5.7210647622110115e-16	3.438945238083074e-14	nan	False
20	0.1944444444444444	0.5972222222222222	0.0	0.02	18	18	20	20	2.262502608704443	2.262502608704443	2.262502608704443	0.15034858384978775	3.6297080289795853	-0.9204516761259552	True
21	0.2222222222222222	0.611111111111111	0.0	0.02	1	1	19	19	13.981721594165991	13.981721594165991	13.981721594165991	0.03722994860588234	0.010722687047777518	0.5527800755219119	True
21	0.2222222222222222	0.611111111111111	0.0	0.02	1	1	20	20	14.007347125879305	14.007347125879305	14.007347125879305	1.358149153336524e-16	1.312962337762495e-16	nan	False
21	0.2222222222222222	0.611111111111111	0.0	0.02	2	2	19	19	13.954811176125848	13.954811176125848	13.954811176125848	1.7066762655363244e-16	1.9593342428424872e-17	nan	False
21	0.2222222222222222	0.611111111111111	0.0	0.02	2	2	20	20	13.98043670783916	13.98043670783916	13.98043670783916	0.03608004693156546	0.012066354147779733	0.4987640248377277	True
21	0.2222222222222222	0.611111111111111	0.0	0.02	3	3	19	19	13.84925187299514	13.84925187299514	13.84925187299514	2.7574831170313995e-17	5.757162342611477e-17	nan	False
21	0.2222222222222222	0.611111111111111	0.0	0.02	3	3	20	20	13.874877404708453	13.874877404708453	13.874877404708453	6.060138098832505e-09	2.1488210964068458e-05	nan	False
21	0.2222222222222222	0.611111111111111	0.0	0.02	4	4	19	19	13.84622582754798	13.84622582754798	13.84622582754798	5.226563857158867e-05	8.124048099346278e-05	nan	False
