k_index,q1,q2,q3,path_inv_A,band,energy_eV
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,17,-2.1546240295815244
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,18,-2.0608507457853347
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,19,0.4665468445139165
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,20,0.5420704394449164
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,21,1.1410128747237658
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,22,1.146522713521121
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,23,1.4026281351914158
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,24,1.4424640691727166
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,25,2.8570293763500185
11,0.1944444444444444,0.3888888888888888,0.0,0.5502933456810851,26,2.8757230425299576
12,0.1805555555555556,0.3611111111111112,0.0,0.6053226802491932,1,-14.206185265376892
12,0.1805555555555556,0.3611111111111112,0.0,0.6053226802491932,2,-14.197003240726811
12,0.1805555555555556,0.3611111111111112,0.0,0.6053226802491932,3,-13.662111558700461
12,0.1805555555555556,0.3611111111111112,0.0,0.6053226802491932,4,-13.66090772071222
12,0.1805555555555556,0.3611111111111112,0.0,0.6053226802491932,5,-6.21237366453181
