# schema=VASPBERRY_BARE_MOMENTUM_KUBO_BUNDLE_V1
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# result_kind=ISOLATED_BUNDLE_TRACE
# result_status=PASS
# curvature=TRACE_OF_SELECTED_BUNDLE
# internal_transitions=EXCLUDED_ANALYTICALLY
# degeneracy_policy=ALLOW_INTERNAL_REJECT_EXTERNAL_GAP_LE_THRESHOLD
# gap_threshold_eV=1e-5
# index_base=1
# band_min=1
# band_max=18
# band_rank=18
# source_nbands=26
# intermediate_bands=EXTERNAL_TO_SELECTED_BUNDLE_WITHIN_SOURCE_NBANDS
# no_external_states=false
spin,k_index,kx_frac,ky_frac,kz_frac,omega_z_A2,min_external_gap_eV
1,118,-2.50000000000000000E-001,-2.50000000000000000E-001, 0.00000000000000000E+000, 8.58334542645413100E-005, 2.81838076659081604E+000
1,119,-1.66666666666666075E-001,-2.50000000000000056E-001, 0.00000000000000000E+000, 3.38998274178962689E+000, 2.57216692777976297E+000
1,120,-8.33333333333330373E-002,-2.50000000000000056E-001, 0.00000000000000000E+000, 3.39018146682395205E+000, 2.57216706129059514E+000
1,121, 0.00000000000000000E+000,-1.66666666666666990E-001, 0.00000000000000000E+000, 3.46479062620130992E-004, 2.58374304151758771E+000
1,122, 8.33333333333330373E-002,-1.66666666666667018E-001, 0.00000000000000000E+000,-3.39014444299179729E+000, 2.57216087836511420E+000
1,123, 1.66666666666666963E-001,-1.66666666666666963E-001, 0.00000000000000000E+000,-5.16601084266566968E+000, 2.52581539438797753E+000
1,124, 2.50000000000000000E-001,-1.66666666666667018E-001, 0.00000000000000000E+000,-4.01787574627127597E+000, 2.57287220562090191E+000
1,125, 3.33333333333333037E-001,-1.66666666666667074E-001, 0.00000000000000000E+000,-2.94094448567751865E+000, 2.54724090099567357E+000
1,126, 4.16666666666666963E-001,-1.66666666666666186E-001, 0.00000000000000000E+000,-3.38805021810766727E+000, 2.34334825855734508E+000
1,127, 5.00000000000000000E-001,-1.66666666666667074E-001, 0.00000000000000000E+000,-2.94091962217654856E+000, 2.54723930913641805E+000
1,128,-4.16666666666666963E-001,-1.66666666666666963E-001, 0.00000000000000000E+000,-4.01786974702474353E+000, 2.57287275586138264E+000
1,129,-3.33333333333333037E-001,-1.66666666666666963E-001, 0.00000000000000000E+000,-5.16631648362017959E+000, 2.52581970458839900E+000
1,130,-2.50000000000000000E-001,-1.66666666666666075E-001, 0.00000000000000000E+000,-3.39031927108987441E+000, 2.57216693138150632E+000
1,131,-1.66666666666666075E-001,-1.66666666666666075E-001, 0.00000000000000000E+000, 1.59994416222179335E-004, 2.58374395245389410E+000
1,132,-8.33333333333330373E-002,-1.66666666666666990E-001, 0.00000000000000000E+000, 1.54308203799294841E+000, 2.60385740432307600E+000
1,133, 0.00000000000000000E+000,-8.33333333333330512E-002, 0.00000000000000000E+000,-7.71876478647884248E-004, 2.82440711932809663E+000
1,134, 8.33333333333330373E-002,-8.33333333333330650E-002, 0.00000000000000000E+000,-1.54575050366163680E+000, 2.60385607262080532E+000
1,135, 1.66666666666666963E-001,-8.33333333333330650E-002, 0.00000000000000000E+000,-3.38942226242505651E+000, 2.57216087613171362E+000
1,136, 2.50000000000000000E-001,-8.33333333333330650E-002, 0.00000000000000000E+000,-3.20462842094235167E+000, 2.71222879660501448E+000
1,137, 3.33333333333333037E-001,-8.33333333333330650E-002, 0.00000000000000000E+000,-2.10318497069186172E+000, 2.73770009707776918E+000
1,138, 4.16666666666666963E-001,-8.33333333333330928E-002, 0.00000000000000000E+000,-1.44579284334778602E+000, 2.63816160711283132E+000
1,139, 5.00000000000000000E-001,-8.33333333333330928E-002, 0.00000000000000000E+000,-1.44582182894602518E+000, 2.63816158457673122E+000
1,140,-4.16666666666666963E-001,-8.33333333333329818E-002, 0.00000000000000000E+000,-2.10330760222261715E+000, 2.73770222724906720E+000
1,141,-3.33333333333333037E-001,-8.33333333333330373E-002, 0.00000000000000000E+000,-3.20462161087372621E+000, 2.71223336023403983E+000
1,142,-2.50000000000000000E-001,-8.33333333333330373E-002, 0.00000000000000000E+000,-3.39024275210901749E+000, 2.57216705736373852E+000
1,143,-1.66666666666666075E-001,-8.33333333333330373E-002, 0.00000000000000000E+000,-1.54393464887788934E+000, 2.60385740021967926E+000
1,144,-8.33333333333330373E-002,-8.33333333333330373E-002, 0.00000000000000000E+000,-5.78989780809608073E-004, 2.82441018320634729E+000
