# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:32
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,26,18,-1.44926086956521753E-002,-2.89855217391304341E-002, 0.00000000000000000E+000,-1.53969580444858778E+000, 1.15277392277328018E-002, 4.66073008498213426E-006
1,27,18,-2.89852173913043507E-002,-5.79710434782608683E-002, 0.00000000000000000E+000,-1.54903917979614025E+000, 2.74882271907654699E-002, 5.54091371107734432E-005
1,28,18,-4.34778260869565225E-002,-8.69565652173912990E-002, 0.00000000000000000E+000,-1.56703832919922381E+000, 6.87709130901494742E-002, 2.86582836563686882E-004
1,29,18,-5.79704347826087013E-002,-1.15942086956521737E-001, 0.00000000000000000E+000,-1.59696816066638814E+000, 1.37115663374630853E-001, 9.99307364793811104E-004
1,30,18,-7.24630434782608801E-002,-1.44927608695652160E-001, 0.00000000000000000E+000,-1.64248986135272967E+000, 2.11109088073630435E-001, 2.70853062958376078E-003
1,31,18,-8.69556521739130450E-002,-1.73913130434782598E-001, 0.00000000000000000E+000,-1.70628189958313525E+000, 2.25996900585303334E-001, 6.13588808638398930E-003
1,32,18,-1.01448260869565224E-001,-2.02898652173913036E-001, 0.00000000000000000E+000,-1.78821459576005637E+000, 5.09319601842614517E-002, 1.21424036154016424E-002
1,33,18,-1.15940869565217403E-001,-2.31884173913043473E-001, 0.00000000000000000E+000,-1.88307661966415707E+000,-5.14254947943083573E-001, 2.16049819638988172E-002
1,34,18,-1.30433478260869568E-001,-2.60869695652173883E-001, 0.00000000000000000E+000,-1.97901772772386697E+000,-1.62634905575360400E+000, 3.51294350207116413E-002
1,35,18,-1.44926086956521760E-001,-2.89855217391304321E-001, 0.00000000000000000E+000,-2.05790159812093432E+000,-2.80018518012939310E+000, 5.21602362556898846E-002
1,36,18,-1.59418695652173925E-001,-3.18840739130434758E-001, 0.00000000000000000E+000,-2.10184782248833413E+000,-2.51246806390059030E+000, 6.95928489764328084E-002
1,37,18,-1.73911304347826090E-001,-3.47826260869565196E-001, 0.00000000000000000E+000,-2.10567184838507870E+000,-7.93257697949830476E-001, 8.29948753591334132E-002
