k_index,q1,q2,q3,distance_inv_A,band_id,energy_eV
18,0.085,0.0,0.0,0.14051354807462307,15,1.4402200696594647
18,0.085,0.0,0.0,0.14051354807462307,16,1.4402203680566865
19,0.09,0.0,0.0,0.14877905090254206,1,-13.588434084953493
19,0.09,0.0,0.0,0.14877905090254206,2,-13.588433775041223
19,0.09,0.0,0.0,0.14877905090254206,3,-9.924118550541747
19,0.09,0.0,0.0,0.14877905090254206,4,-9.92411821390792
19,0.09,0.0,0.0,0.14877905090254206,5,-3.378200829860866
19,0.09,0.0,0.0,0.14877905090254206,6,-3.378200142487543
19,0.09,0.0,0.0,0.14877905090254206,7,-2.128394588810172
19,0.09,0.0,0.0,0.14877905090254206,8,-2.12839385069276
19,0.09,0.0,0.0,0.14877905090254206,9,-1.3942424326296459
19,0.09,0.0,0.0,0.14877905090254206,10,-1.3942416583876758
19,0.09,0.0,0.0,0.14877905090254206,11,-0.5328600843035662
19,0.09,0.0,0.0,0.14877905090254206,12,-0.5328594587944984
19,0.09,0.0,0.0,0.14877905090254206,13,0.6019624357406322
19,0.09,0.0,0.0,0.14877905090254206,14,0.6019629370925283
19,0.09,0.0,0.0,0.14877905090254206,15,1.4307728815927105
19,0.09,0.0,0.0,0.14877905090254206,16,1.430773193842352
20,0.095,0.0,0.0,0.15704455373046108,1,-13.580742566790434
20,0.095,0.0,0.0,0.15704455373046108,2,-13.580742264591548
20,0.095,0.0,0.0,0.15704455373046108,3,-9.927722293526799
20,0.095,0.0,0.0,0.15704455373046108,4,-9.927721965620329
20,0.095,0.0,0.0,0.15704455373046108,5,-3.3948539747476523
20,0.095,0.0,0.0,0.15704455373046108,6,-3.394853328701897
20,0.095,0.0,0.0,0.15704455373046108,7,-2.1663606078037843
20,0.095,0.0,0.0,0.15704455373046108,8,-2.166359854667633
20,0.095,0.0,0.0,0.15704455373046108,9,-1.4060045978634783
20,0.095,0.0,0.0,0.15704455373046108,10,-1.4060038813652278
20,0.095,0.0,0.0,0.15704455373046108,11,-0.5175353592824338
20,0.095,0.0,0.0,0.15704455373046108,12,-0.5175347417037293
20,0.095,0.0,0.0,0.15704455373046108,13,0.6220680444755854
20,0.095,0.0,0.0,0.15704455373046108,14,0.6220684928524969
20,0.095,0.0,0.0,0.15704455373046108,15,1.4223167600636364
20,0.095,0.0,0.0,0.15704455373046108,16,1.4223170845073991
21,0.1,0.0,0.0,0.1653100565583801,1,-13.572637718632821
21,0.1,0.0,0.0,0.1653100565583801,2,-13.572637426868944
21,0.1,0.0,0.0,0.1653100565583801,3,-9.93157084133378
21,0.1,0.0,0.0,0.1653100565583801,4,-9.931570525094353
21,0.1,0.0,0.0,0.1653100565583801,5,-3.4124721954586774
21,0.1,0.0,0.0,0.1653100565583801,6,-3.412471594653783
21,0.1,0.0,0.0,0.1653100565583801,7,-2.2036409870655222
21,0.1,0.0,0.0,0.1653100565583801,8,-2.2036402261142665
21,0.1,0.0,0.0,0.1653100565583801,9,-1.418219205379772
21,0.1,0.0,0.0,0.1653100565583801,10,-1.4182185509819885
21,0.1,0.0,0.0,0.1653100565583801,11,-0.5043753125700955
21,0.1,0.0,0.0,0.1653100565583801,12,-0.5043747123707958
21,0.1,0.0,0.0,0.1653100565583801,13,0.6424568129362273
21,0.1,0.0,0.0,0.1653100565583801,14,0.6424572071351428
21,0.1,0.0,0.0,0.1653100565583801,15,1.4150231933805562
21,0.1,0.0,0.0,0.1653100565583801,16,1.4150235275480956
22,0.105,0.0,0.0,0.1735755593862991,1,-13.564120680234245
22,0.105,0.0,0.0,0.1735755593862991,2,-13.564120401473854
22,0.105,0.0,0.0,0.1735755593862991,3,-9.935671218454793
22,0.105,0.0,0.0,0.1735755593862991,4,-9.935670916641586
22,0.105,0.0,0.0,0.1735755593862991,5,-3.431040364306591
22,0.105,0.0,0.0,0.1735755593862991,6,-3.4310398114278766
22,0.105,0.0,0.0,0.1735755593862991,7,-2.240205331063692
22,0.105,0.0,0.0,0.1735755593862991,8,-2.240204570696593
22,0.105,0.0,0.0,0.1735755593862991,9,-1.4308200643167812
22,0.105,0.0,0.0,0.1735755593862991,10,-1.4308194745677498
22,0.105,0.0,0.0,0.1735755593862991,11,-0.4934580416621041
22,0.105,0.0,0.0,0.1735755593862991,12,-0.4934574675390064
22,0.105,0.0,0.0,0.1735755593862991,13,0.6630235259899316
22,0.105,0.0,0.0,0.1735755593862991,14,0.6630238672151958
22,0.105,0.0,0.0,0.1735755593862991,15,1.4090463007418166
22,0.105,0.0,0.0,0.1735755593862991,16,1.4090466413037468
23,0.11,0.0,0.0,0.1818410622142181,1,-13.55519280012243
23,0.11,0.0,0.0,0.1818410622142181,2,-13.555192536752713
23,0.11,0.0,0.0,0.1818410622142181,3,-9.940030578076062
23,0.11,0.0,0.0,0.1818410622142181,4,-9.940030293238546
23,0.11,0.0,0.0,0.1818410622142181,5,-3.45053741615272
23,0.11,0.0,0.0,0.1818410622142181,6,-3.4505369127372822
23,0.11,0.0,0.0,0.1818410622142181,7,-2.2760332313829776
23,0.11,0.0,0.0,0.1818410622142181,8,-2.276032480998722
23,0.11,0.0,0.0,0.1818410622142181,9,-1.4437511781249721
23,0.11,0.0,0.0,0.1818410622142181,10,-1.443750653827778
23,0.11,0.0,0.0,0.1818410622142181,11,-0.4848271989927857
23,0.11,0.0,0.0,0.1818410622142181,12,-0.48482665867159197
23,0.11,0.0,0.0,0.1818410622142181,13,0.6836634174668066
23,0.11,0.0,0.0,0.1818410622142181,14,0.6836637093970895
23,0.11,0.0,0.0,0.1818410622142181,15,1.4045184601487108
23,0.11,0.0,0.0,0.1818410622142181,16,1.4045188029219218
24,0.115,0.0,0.0,0.19010656504213713,1,-13.545855645268126
24,0.115,0.0,0.0,0.19010656504213713,2,-13.545855399469264
24,0.115,0.0,0.0,0.19010656504213713,3,-9.944656167000648
24,0.115,0.0,0.0,0.19010656504213713,4,-9.944655901452583
24,0.115,0.0,0.0,0.19010656504213713,5,-3.470936220635419
24,0.115,0.0,0.0,0.19010656504213713,6,-3.4709357672028176
24,0.115,0.0,0.0,0.19010656504213713,7,-2.3111137762369593
24,0.115,0.0,0.0,0.19010656504213713,8,-2.311113045988511
24,0.115,0.0,0.0,0.19010656504213713,9,-1.4569657517701904
24,0.115,0.0,0.0,0.19010656504213713,10,-1.456965292091163
24,0.115,0.0,0.0,0.19010656504213713,11,-0.4784916854417373
24,0.115,0.0,0.0,0.19010656504213713,12,-0.47849118550938063
24,0.115,0.0,0.0,0.19010656504213713,13,0.7042737666683183
24,0.115,0.0,0.0,0.19010656504213713,14,0.7042740153328159
24,0.115,0.0,0.0,0.19010656504213713,15,1.4015463151910506
24,0.115,0.0,0.0,0.19010656504213713,16,1.4015466552130107
25,0.12,0.0,0.0,0.19837206787005612,1,-13.53611100901505
25,0.12,0.0,0.0,0.19837206787005612,2,-13.536110782737131
25,0.12,0.0,0.0,0.19837206787005612,3,-9.949555289646613
25,0.12,0.0,0.0,0.19837206787005612,4,-9.94955504544383
25,0.12,0.0,0.0,0.19837206787005612,5,-3.492203621887855
25,0.12,0.0,0.0,0.19837206787005612,6,-3.49220321811376
25,0.12,0.0,0.0,0.19837206787005612,7,-2.3454449669614457
25,0.12,0.0,0.0,0.19837206787005612,8,-2.3454442674748974
25,0.12,0.0,0.0,0.19837206787005612,9,-1.4704253549287398
25,0.12,0.0,0.0,0.19837206787005612,10,-1.4704249575525203
25,0.12,0.0,0.0,0.19837206787005612,11,-0.47442588249766304
25,0.12,0.0,0.0,0.19837206787005612,12,-0.4744254282878225
25,0.12,0.0,0.0,0.19837206787005612,13,0.7247556681243691
25,0.12,0.0,0.0,0.19837206787005612,14,0.7247558814288032
25,0.12,0.0,0.0,0.19837206787005612,15,1.4002074171400216
25,0.12,0.0,0.0,0.19837206787005612,16,1.4002077488252616
26,0.125,0.0,0.0,0.20663757069797514,1,-13.525960917211679
26,0.125,0.0,0.0,0.20663757069797514,2,-13.525960712154642
26,0.125,0.0,0.0,0.20663757069797514,3,-9.954735271422516
26,0.125,0.0,0.0,0.20663757069797514,4,-9.954735050344592
26,0.125,0.0,0.0,0.20663757069797514,5,-3.5143006494999574
26,0.125,0.0,0.0,0.20663757069797514,6,-3.5143002944204538
