k_index,band_10_eV,band_11_eV,direct_gap_eV
119,-1.86684006313,-0.296126999385,1.57071306375
120,-1.86683970638,-0.296124009791,1.57071569658
121,-1.57336709576,-0.522787886506,1.05057920925
122,-1.86683620038,-0.296125067162,1.57071113322
123,-2.16778326752,0.032661765253,2.20044503277
124,-2.45741984926,0.140610669959,2.59803051922
125,-2.74774604094,0.152067823484,2.89981386442
126,-2.88621472546,0.147050104491,3.03326482995
127,-2.74774721569,0.152067726673,2.89981494236
128,-2.4574216354,0.140611343801,2.5980329792
129,-2.16778590615,0.0326623228893,2.20044822904
130,-1.86684012233,-0.296126897945,1.57071322439
131,-1.57337019644,-0.522791938347,1.05057825809
132,-1.58533939102,-0.326692465257,1.25864692576
133,-1.34896366712,-0.56084365963,0.788120007492
134,-1.58533400554,-0.326692117309,1.25864188823
135,-1.86683618893,-0.296125227876,1.57071096105
136,-2.13247385347,-0.351345256797,1.78112859668
137,-2.41323985667,-0.250063065049,2.16317679162
138,-2.60474360639,-0.0839601234348,2.52078348295
139,-2.60474427026,-0.0839596589308,2.52078461133
140,-2.41324154859,-0.25006211556,2.16317943303
141,-2.13247628494,-0.351343940956,1.78113234398
142,-1.86683969103,-0.296123841441,1.57071584959
143,-1.58533934886,-0.326692392934,1.25864695593
144,-1.34896817702,-0.560844534157,0.788123642858
