k_index,kx_fractional,ky_fractional,kz_fractional,path_distance_inv_A,photon_energy_eV,left_spectrum_au,right_spectrum_au,selectivity,selectivity_is_resolved
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.54,0.0,0.0001,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.55,0.0,0.0001,,0
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.56,0.0,0.0003,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.57,0.0,0.0005,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.58,0.0,0.0008,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.59,0.0,0.0014,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.6,0.0,0.0023,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.61,0.0,0.0036,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.62,0.0,0.0055,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.63,0.0,0.0079,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.64,0.0,0.011,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.65,0.0,0.0146,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.66,0.0,0.0188,-1.0,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.67,0.0001,0.0231,-0.9913793103448276,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.68,0.0001,0.0274,-0.9927272727272728,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.69,0.0001,0.0312,-0.9936102236421724,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.7,0.0001,0.0341,-0.9941520467836256,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.71,0.0001,0.036,-0.9944598337950137,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.72,0.0001,0.0365,-0.9945355191256829,1
2,0.31883739130434785,0.6376814782608696,0.0,0.05742194304395149,1.73,0.0001,0.0358,-0.9944289693593313,1
